train_id,station_code,date,day_of_week,month,scheduled_hour,zone,historical_avg_delay,actual_delay_min
12906,AII,2024-08-04,6,8,2,NWR,9,14.6
12621,JHS,2024-02-08,3,2,3,NCR,15,20.0
12622,BZA,2024-08-14,2,8,13,SCR,10,18.5
12559,BSB,2024-02-20,1,2,2,NER,22,23.6
12301,NDLS,2024-01-26,4,1,17,NR,10,20.2
12842,BBS,2024-01-08,0,1,18,ECoR,14,21.9
12657,MAS,2024-02-17,5,2,22,SR,7,8.6
12001,GWL,2024-03-26,1,3,9,NCR,15,21.2
11042,MAS,2024-07-27,5,7,7,SR,7,25.6
12301,NDLS,2024-07-24,2,7,17,NR,10,28.1
12302,HWH,2024-01-31,2,1,14,ER,18,32.5
16525,TVC,2024-07-18,3,7,14,SR,7,16.0
11041,CSMT,2024-05-15,2,5,23,CR,12,28.3
12842,BZA,2024-05-26,6,5,12,SCR,10,5.1
12658,SBC,2024-08-04,6,8,6,SWR,6,10.8
12842,BZA,2024-10-11,4,10,12,SCR,10,9.1
12906,ADI,2024-12-04,2,12,6,WR,8,13.8
16525,MDU,2024-05-31,4,5,11,SR,7,10.8
12842,BBS,2024-04-21,6,4,18,ECoR,14,25.3
11041,CSMT,2024-10-04,4,10,23,CR,12,17.7
11041,CSMT,2024-02-01,3,2,23,CR,12,12.2
11041,MAS,2024-10-26,5,10,18,SR,7,11.3
12841,KGP,2024-09-01,6,9,16,SER,16,8.9
12001,NDLS,2024-03-21,3,3,6,NR,10,10.8
12004,NDLS,2024-01-30,1,1,2,NR,10,10.2
11041,MAS,2024-04-05,4,4,18,SR,7,20.1
11042,BZA,2024-02-05,0,2,10,SCR,10,12.9
12013,CDG,2024-04-30,1,4,11,NR,10,9.8
12622,AGC,2024-07-25,3,7,4,NCR,15,30.8
12004,NDLS,2024-05-06,0,5,2,NR,10,19.0
12721,JHS,2024-10-23,2,10,5,NCR,15,16.2
12621,BZA,2024-08-02,4,8,15,SCR,10,16.2
12721,NDLS,2024-12-02,0,12,23,NR,10,7.5
12722,JHS,2024-05-13,0,5,18,NCR,15,26.8
12003,NDLS,2024-04-14,6,4,6,NR,10,4.9
12014,NDLS,2024-05-15,2,5,22,NR,10,21.9
12906,ADI,2024-07-21,6,7,6,WR,8,16.3
12301,HWH,2024-08-22,3,8,3,ER,18,26.4
12621,AGC,2024-06-10,0,6,0,NCR,15,28.2
12722,NDLS,2024-01-05,4,1,22,NR,10,13.3
12952,ST,2024-08-22,3,8,5,WR,8,15.7
12301,GAYA,2024-02-21,2,2,1,ECR,20,14.8
12301,PRYJ,2024-02-07,2,2,22,NCR,15,16.5
12001,AGC,2024-03-08,4,3,8,NCR,15,28.7
16525,CBE,2024-06-27,3,6,9,SR,7,25.9
12842,BBS,2024-07-08,0,7,18,ECoR,14,27.0
12301,PRYJ,2024-05-25,5,5,22,NCR,15,17.7
12951,ST,2024-12-26,3,12,19,WR,8,25.5
12952,RTM,2024-06-03,0,6,0,WR,8,9.7
12559,NDLS,2024-11-30,5,11,18,NR,10,11.6
12301,HWH,2024-09-27,4,9,3,ER,18,23.7
12721,NGP,2024-06-02,6,6,10,CR,12,20.8
12859,NGP,2024-12-05,3,12,14,CR,12,27.7
12951,ST,2024-05-15,2,5,19,WR,8,32.2
15929,DBRG,2024-02-29,3,2,8,NFR,25,40.0
12621,JHS,2024-03-20,2,3,3,NCR,15,19.8
12842,MAS,2024-05-19,6,5,8,SR,7,13.7
11041,PUNE,2024-06-24,0,6,3,CR,12,17.1
16525,MDU,2024-04-14,6,4,11,SR,7,10.4
12014,LDH,2024-09-15,6,9,18,NR,10,14.6
12905,ADI,2024-09-07,5,9,15,WR,8,14.0
12622,BZA,2024-01-27,5,1,13,SCR,10,19.3
12559,BSB,2024-02-17,5,2,2,NER,22,11.4
12841,BZA,2024-01-23,1,1,1,SCR,10,10.2
11042,BZA,2024-01-02,1,1,10,SCR,10,12.9
12302,CNB,2024-05-14,1,5,19,NCR,15,25.9
12657,SBC,2024-03-23,5,3,4,SWR,6,0.0
15930,GHY,2024-08-06,1,8,12,NFR,25,31.7
12952,BCT,2024-10-14,0,10,7,WR,8,19.5
12905,RJT,2024-12-19,3,12,13,WR,8,19.3
11042,PUNE,2024-03-17,6,3,22,CR,12,4.3
12842,BBS,2024-10-25,4,10,18,ECoR,14,26.4
12952,KOTA,2024-10-09,2,10,21,WCR,11,25.4
15930,GHY,2024-06-06,3,6,12,NFR,25,40.6
12859,KGP,2024-07-05,4,7,23,SER,16,33.6
12622,BZA,2024-01-21,6,1,13,SCR,10,5.9
11042,SC,2024-07-02,1,7,15,SCR,10,19.7
16525,MDU,2024-02-22,3,2,11,SR,7,17.8
12859,HWH,2024-06-30,6,6,1,ER,18,24.6
12004,NDLS,2024-07-27,5,7,2,NR,10,4.2
12560,PRYJ,2024-11-13,2,11,9,NCR,15,35.6
12301,HWH,2024-05-01,2,5,3,ER,18,8.2
12301,GAYA,2024-03-24,6,3,1,ECR,20,19.0
12302,HWH,2024-07-30,1,7,14,ER,18,25.4
12622,BZA,2024-01-13,5,1,13,SCR,10,18.2
12722,NDLS,2024-07-29,0,7,22,NR,10,36.3
12622,NDLS,2024-12-08,6,12,6,NR,10,10.8
12301,PRYJ,2024-05-16,3,5,22,NCR,15,12.6
12001,JHS,2024-03-22,4,3,10,NCR,15,19.6
15929,PNBE,2024-01-20,5,1,18,ECR,20,30.1
12859,HWH,2024-08-28,2,8,1,ER,18,25.8
12722,NDLS,2024-08-23,4,8,22,NR,10,31.3
11042,PUNE,2024-06-28,4,6,22,CR,12,28.1
16526,MDU,2024-04-26,4,4,10,SR,7,15.4
12905,NDLS,2024-04-24,2,4,23,NR,10,20.5
12014,LDH,2024-06-17,0,6,18,NR,10,25.2
12906,ADI,2024-05-22,2,5,6,WR,8,15.4
12622,BZA,2024-05-22,2,5,13,SCR,10,18.2
11041,BZA,2024-06-28,4,6,14,SCR,10,14.4
12842,BBS,2024-10-01,1,10,18,ECoR,14,19.7
16526,TVC,2024-06-18,1,6,7,SR,7,28.0
12621,JHS,2024-05-13,0,5,3,NCR,15,24.5
12658,MAS,2024-04-01,0,4,12,SR,7,4.5
12721,AGC,2024-01-20,5,1,2,NCR,15,16.8
16525,TVC,2024-02-25,6,2,14,SR,7,2.4
12952,ST,2024-06-09,6,6,5,WR,8,19.9
12841,VSKP,2024-08-11,6,8,22,ECoR,14,31.5
12906,MTJ,2024-07-16,1,7,23,NCR,15,22.8
12559,CNB,2024-10-22,1,10,23,NCR,15,26.6
12301,GAYA,2024-08-11,6,8,1,ECR,20,22.9
15930,PRYJ,2024-01-01,0,1,0,NCR,15,11.1
12905,RJT,2024-12-17,1,12,13,WR,8,38.3
12951,BCT,2024-12-09,0,12,17,WR,8,18.4
12622,NGP,2024-12-06,4,12,20,CR,12,37.0
12722,SC,2024-06-18,1,6,7,SCR,10,27.1
12301,PRYJ,2024-03-04,0,3,22,NCR,15,24.3
12951,BCT,2024-06-02,6,6,17,WR,8,16.3
12841,KGP,2024-06-16,6,6,16,SER,16,25.8
12302,CNB,2024-07-25,3,7,19,NCR,15,29.4
12860,R,2024-04-08,0,4,21,SECR,13,13.2
12001,JHS,2024-08-03,5,8,10,NCR,15,17.0
16526,SBC,2024-03-30,5,3,15,SWR,6,14.5
12013,CDG,2024-11-11,0,11,11,NR,10,8.1
12952,MTJ,2024-01-01,0,1,17,NCR,15,24.4
12841,MAS,2024-06-04,1,6,4,SR,7,11.2
12906,MTJ,2024-10-23,2,10,23,NCR,15,19.1
12560,CNB,2024-11-06,2,11,10,NCR,15,47.2
12906,MTJ,2024-08-14,2,8,23,NCR,15,20.3
15930,PRYJ,2024-12-11,2,12,0,NCR,15,15.9
12952,BRC,2024-03-27,2,3,3,WR,8,9.1
12301,NDLS,2024-12-03,1,12,17,NR,10,24.1
12952,NDLS,2024-11-20,2,11,16,NR,10,16.1
12004,NDLS,2024-11-13,2,11,2,NR,10,7.3
11041,MAS,2024-04-30,1,4,18,SR,7,23.5
12302,PRYJ,2024-12-10,1,12,18,NCR,15,31.6
12860,HWH,2024-03-16,5,3,13,ER,18,19.9
16526,TVC,2024-01-13,5,1,7,SR,7,25.3
16525,SBC,2024-11-08,4,11,6,SWR,6,13.0
12014,LDH,2024-02-07,2,2,18,NR,10,16.6
12721,SC,2024-10-21,0,10,16,SCR,10,12.0
12841,HWH,2024-04-09,1,4,14,ER,18,19.2
15930,GHY,2024-07-23,1,7,12,NFR,25,34.5
15930,NDLS,2024-05-04,5,5,6,NR,10,11.4
12621,NGP,2024-02-24,5,2,8,CR,12,22.3
12841,VSKP,2024-08-05,0,8,22,ECoR,14,22.9
12560,NDLS,2024-12-22,6,12,15,NR,10,15.7
12004,NDLS,2024-09-22,6,9,2,NR,10,2.2
15929,DBRG,2024-03-03,6,3,8,NFR,25,33.0
12951,NDLS,2024-08-21,2,8,8,NR,10,31.9
12905,MTJ,2024-09-28,5,9,21,NCR,15,14.7
16525,MDU,2024-10-13,6,10,11,SR,7,0.5
12001,AGC,2024-08-14,2,8,8,NCR,15,24.9
16525,MDU,2024-11-09,5,11,11,SR,7,13.5
12658,SBC,2024-08-06,1,8,6,SWR,6,10.7
12842,BBS,2024-10-07,0,10,18,ECoR,14,30.6
12721,SC,2024-08-31,5,8,16,SCR,10,15.3
12302,HWH,2024-08-18,6,8,14,ER,18,26.4
12905,NDLS,2024-11-22,4,11,23,NR,10,17.2
11041,BZA,2024-05-21,1,5,14,SCR,10,13.1
11041,SC,2024-11-16,5,11,10,SCR,10,2.6
12860,NGP,2024-05-02,3,5,0,CR,12,14.0
11041,SC,2024-05-26,6,5,10,SCR,10,9.3
12621,MAS,2024-04-30,1,4,19,SR,7,15.4
12842,VSKP,2024-10-03,3,10,15,ECoR,14,18.1
12621,JHS,2024-02-11,6,2,3,NCR,15,16.2
12951,ST,2024-12-21,5,12,19,WR,8,18.9
12841,KGP,2024-03-19,1,3,16,SER,16,23.0
12905,JP,2024-07-27,5,7,20,NWR,9,11.5
12014,NDLS,2024-06-18,1,6,22,NR,10,18.5
16525,CBE,2024-04-15,0,4,9,SR,7,15.9
12013,ASR,2024-08-03,5,8,13,NR,10,28.0
12302,HWH,2024-12-22,6,12,14,ER,18,20.0
16525,TVC,2024-01-11,3,1,14,SR,7,12.9
12952,RTM,2024-07-13,5,7,0,WR,8,14.5
12301,HWH,2024-09-01,6,9,3,ER,18,15.3
12721,NGP,2024-07-18,3,7,10,CR,12,20.5
12905,JP,2024-08-02,4,8,20,NWR,9,18.2
12905,ADI,2024-11-04,0,11,15,WR,8,7.5
12001,AGC,2024-04-22,0,4,8,NCR,15,21.7
12002,BPL,2024-09-05,3,9,17,WCR,11,29.6
12841,VSKP,2024-01-15,0,1,22,ECoR,14,10.7
12658,MAS,2024-07-26,4,7,12,SR,7,21.2
12952,ST,2024-03-25,0,3,5,WR,8,14.2
12906,NDLS,2024-11-14,3,11,22,NR,10,6.3
12905,RJT,2024-09-30,0,9,13,WR,8,22.0
12841,HWH,2024-10-15,1,10,14,ER,18,21.8
12952,ADI,2024-12-05,3,12,2,WR,8,10.5
16525,CBE,2024-03-10,6,3,9,SR,7,28.5
12860,R,2024-08-24,5,8,21,SECR,13,23.8
12905,ADI,2024-06-16,6,6,15,WR,8,14.3
16526,MDU,2024-04-18,3,4,10,SR,7,4.6
12622,NDLS,2024-07-13,5,7,6,NR,10,16.8
12905,JP,2024-05-22,2,5,20,NWR,9,11.8
12721,NDLS,2024-05-09,3,5,23,NR,10,5.3
12841,HWH,2024-02-11,6,2,14,ER,18,11.8
12301,HWH,2024-01-27,5,1,3,ER,18,22.9
12621,MAS,2024-06-28,4,6,19,SR,7,25.0
12722,AGC,2024-11-29,4,11,21,NCR,15,21.4
12906,RJT,2024-01-21,6,1,8,WR,8,21.3
11041,BZA,2024-04-12,4,4,14,SCR,10,3.5
12559,NDLS,2024-01-11,3,1,18,NR,10,16.9
12003,CNB,2024-08-30,4,8,10,NCR,15,23.5
12952,ADI,2024-12-08,6,12,2,WR,8,10.7
12721,SC,2024-08-26,0,8,16,SCR,10,27.1
12002,JHS,2024-12-24,1,12,20,NCR,15,21.0
12004,CNB,2024-11-06,2,11,22,NCR,15,20.9
12860,KGP,2024-11-06,2,11,15,SER,16,21.7
15930,CNB,2024-03-24,6,3,1,NCR,15,20.8
12559,BSB,2024-06-08,5,6,2,NER,22,24.2
11042,BZA,2024-06-08,5,6,10,SCR,10,14.0
12013,ASR,2024-10-21,0,10,13,NR,10,8.7
12952,NDLS,2024-07-22,0,7,16,NR,10,17.9
16526,TVC,2024-04-11,3,4,7,SR,7,25.8
12658,SBC,2024-11-17,6,11,6,SWR,6,5.8
12622,NGP,2024-05-04,5,5,20,CR,12,18.1
12842,VSKP,2024-12-16,0,12,15,ECoR,14,22.0
11041,MAS,2024-11-03,6,11,18,SR,7,12.8
12560,CNB,2024-10-16,2,10,10,NCR,15,11.5
12002,NDLS,2024-01-22,0,1,1,NR,10,11.0
11041,BZA,2024-07-08,0,7,14,SCR,10,24.9
12301,PRYJ,2024-02-05,0,2,22,NCR,15,23.1
12860,HWH,2024-08-03,5,8,13,ER,18,20.6
12622,NGP,2024-09-07,5,9,20,CR,12,21.4
12860,CSMT,2024-11-21,3,11,8,CR,12,44.5
12952,NDLS,2024-08-23,4,8,16,NR,10,16.3
12014,CDG,2024-09-24,1,9,18,NR,10,17.4
12301,CNB,2024-11-29,4,11,21,NCR,15,17.4
11042,CSMT,2024-10-02,2,10,1,CR,12,25.5
12905,RJT,2024-09-04,2,9,13,WR,8,16.1
12002,BPL,2024-10-30,2,10,17,WCR,11,34.2
12301,PRYJ,2024-05-17,4,5,22,NCR,15,15.1
11042,BZA,2024-02-14,2,2,10,SCR,10,15.6
12860,R,2024-05-22,2,5,21,SECR,13,19.9
15929,NDLS,2024-08-25,6,8,10,NR,10,13.5
15930,PRYJ,2024-10-18,4,10,0,NCR,15,14.6
12657,SBC,2024-01-15,0,1,4,SWR,6,4.1
12001,GWL,2024-09-10,1,9,9,NCR,15,28.8
15929,PRYJ,2024-04-18,3,4,15,NCR,15,14.5
15930,DBRG,2024-06-30,6,6,8,NFR,25,39.7
15930,CNB,2024-11-01,4,11,1,NCR,15,10.7
12721,AGC,2024-12-25,2,12,2,NCR,15,20.6
12657,MAS,2024-09-21,5,9,22,SR,7,2.9
12951,RTM,2024-04-07,6,4,0,WR,8,33.5
12952,BCT,2024-09-07,5,9,7,WR,8,20.0
12001,AGC,2024-10-11,4,10,8,NCR,15,31.2
12002,AGC,2024-11-26,1,11,23,NCR,15,12.1
12622,NGP,2024-12-30,0,12,20,CR,12,12.5
12657,MAS,2024-02-17,5,2,22,SR,7,9.3
12301,PRYJ,2024-05-30,3,5,22,NCR,15,31.0
12842,BBS,2024-06-05,2,6,18,ECoR,14,37.9
12621,BZA,2024-12-05,3,12,15,SCR,10,12.0
15929,GHY,2024-09-28,5,9,3,NFR,25,17.6
12860,CSMT,2024-06-25,1,6,8,CR,12,22.1
12952,KOTA,2024-06-18,1,6,21,WCR,11,24.7
11041,CSMT,2024-06-29,5,6,23,CR,12,20.5
12906,AII,2024-05-08,2,5,2,NWR,9,5.4
12842,VSKP,2024-04-28,6,4,15,ECoR,14,18.6
16525,ERS,2024-03-02,5,3,14,SR,7,6.0
12013,CDG,2024-10-01,1,10,11,NR,10,18.7
12721,AGC,2024-04-08,0,4,2,NCR,15,12.3
12621,BZA,2024-04-20,5,4,15,SCR,10,7.1
12621,NDLS,2024-10-28,0,10,22,NR,10,35.1
12952,BRC,2024-09-25,2,9,3,WR,8,3.0
15929,PRYJ,2024-04-09,1,4,15,NCR,15,12.0
12003,NDLS,2024-05-31,4,5,6,NR,10,16.8
11042,SC,2024-01-08,0,1,15,SCR,10,12.5
12860,NGP,2024-12-28,5,12,0,CR,12,21.1
12014,LDH,2024-01-28,6,1,18,NR,10,18.8
15929,GHY,2024-10-10,3,10,3,NFR,25,26.0
12906,AII,2024-11-22,4,11,2,NWR,9,17.3
12860,KGP,2024-09-08,6,9,15,SER,16,20.4
12721,NGP,2024-05-25,5,5,10,CR,12,23.6
15929,PNBE,2024-08-28,2,8,18,ECR,20,34.2
12905,ADI,2024-01-27,5,1,15,WR,8,6.4
12952,MTJ,2024-05-09,3,5,17,NCR,15,32.5
12841,HWH,2024-02-03,5,2,14,ER,18,13.2
12658,MAS,2024-07-24,2,7,12,SR,7,17.0
12906,AII,2024-12-17,1,12,2,NWR,9,6.6
15930,PRYJ,2024-01-28,6,1,0,NCR,15,20.3
16526,TVC,2024-06-04,1,6,7,SR,7,30.4
11041,PUNE,2024-02-13,1,2,3,CR,12,13.7
12952,ST,2024-08-01,3,8,5,WR,8,14.4
12621,JHS,2024-11-06,2,11,3,NCR,15,11.4
12621,AGC,2024-09-24,1,9,0,NCR,15,16.3
12560,BSB,2024-07-13,5,7,7,NER,22,32.3
12658,SBC,2024-10-28,0,10,6,SWR,6,7.8
15930,DBRG,2024-08-07,2,8,8,NFR,25,42.6
11041,BZA,2024-11-08,4,11,14,SCR,10,15.4
12722,NDLS,2024-02-20,1,2,22,NR,10,17.2
15930,DBRG,2024-04-18,3,4,8,NFR,25,34.0
12013,ASR,2024-05-15,2,5,13,NR,10,10.2
12906,AII,2024-03-29,4,3,2,NWR,9,6.8
12906,RJT,2024-10-09,2,10,8,WR,8,16.5
12859,CSMT,2024-08-18,6,8,6,CR,12,14.3
12002,BPL,2024-12-18,2,12,17,WCR,11,28.8
12860,KGP,2024-04-28,6,4,15,SER,16,11.9
12301,CNB,2024-05-27,0,5,21,NCR,15,26.8
12905,NDLS,2024-08-20,1,8,23,NR,10,22.2
15930,PRYJ,2024-02-06,1,2,0,NCR,15,13.9
12841,MAS,2024-11-16,5,11,4,SR,7,0.0
11041,BZA,2024-10-28,0,10,14,SCR,10,7.6
12002,NDLS,2024-08-05,0,8,1,NR,10,16.0
12013,NDLS,2024-02-28,2,2,7,NR,10,25.1
11041,BZA,2024-05-16,3,5,14,SCR,10,11.0
11042,SC,2024-03-13,2,3,15,SCR,10,20.2
12951,BRC,2024-06-06,3,6,20,WR,8,16.4
12560,NDLS,2024-10-31,3,10,15,NR,10,13.3
12560,NDLS,2024-05-27,0,5,15,NR,10,11.2
15930,CNB,2024-08-12,0,8,1,NCR,15,29.1
12001,AGC,2024-12-24,1,12,8,NCR,15,27.1
12952,MTJ,2024-07-25,3,7,17,NCR,15,35.0
11042,MAS,2024-09-09,0,9,7,SR,7,14.6
16525,CBE,2024-08-12,0,8,9,SR,7,22.9
12859,R,2024-08-09,4,8,17,SECR,13,30.5
12951,BCT,2024-06-14,4,6,17,WR,8,25.0
12013,LDH,2024-04-27,5,4,11,NR,10,10.4
12301,NDLS,2024-12-11,2,12,17,NR,10,23.6
12842,VSKP,2024-01-11,3,1,15,ECoR,14,17.1
12302,CNB,2024-12-10,1,12,19,NCR,15,26.7
12859,HWH,2024-03-30,5,3,1,ER,18,10.3
12906,JP,2024-08-28,2,8,1,NWR,9,13.1
12860,CSMT,2024-05-22,2,5,8,CR,12,20.6
15930,GHY,2024-04-02,1,4,12,NFR,25,36.5
12621,BZA,2024-09-08,6,9,15,SCR,10,9.2
12906,MTJ,2024-02-16,4,2,23,NCR,15,12.7
12301,NDLS,2024-06-13,3,6,17,NR,10,34.3
12951,KOTA,2024-12-09,0,12,3,WCR,11,14.8
12906,MTJ,2024-07-29,0,7,23,NCR,15,29.1
12841,MAS,2024-12-21,5,12,4,SR,7,0.0
12859,CSMT,2024-07-24,2,7,6,CR,12,19.5
12002,NDLS,2024-10-08,1,10,1,NR,10,17.8
12722,NGP,2024-05-09,3,5,13,CR,12,32.8
12621,JHS,2024-06-14,4,6,3,NCR,15,25.2
12014,LDH,2024-09-20,4,9,18,NR,10,30.7
12302,NDLS,2024-01-01,0,1,0,NR,10,10.0
12559,BSB,2024-07-30,1,7,2,NER,22,25.7
12905,ADI,2024-01-28,6,1,15,WR,8,12.9
12560,CNB,2024-09-12,3,9,10,NCR,15,24.3
12722,AGC,2024-11-16,5,11,21,NCR,15,11.0
12658,SBC,2024-05-16,3,5,6,SWR,6,8.6
12952,RTM,2024-10-08,1,10,0,WR,8,11.4
15929,PRYJ,2024-12-23,0,12,15,NCR,15,17.8
12906,AII,2024-09-05,3,9,2,NWR,9,21.4
12001,GWL,2024-11-07,3,11,9,NCR,15,29.7
16526,SBC,2024-05-02,3,5,15,SWR,6,5.8
12905,JP,2024-01-08,0,1,20,NWR,9,16.7
12905,MTJ,2024-10-09,2,10,21,NCR,15,17.3
11041,MAS,2024-02-28,2,2,18,SR,7,41.9
12860,R,2024-08-24,5,8,21,SECR,13,19.9
12014,NDLS,2024-03-19,1,3,22,NR,10,8.8
12842,BZA,2024-09-12,3,9,12,SCR,10,14.8
12621,NGP,2024-12-27,4,12,8,CR,12,26.9
15930,DBRG,2024-05-19,6,5,8,NFR,25,27.1
12721,AGC,2024-08-29,3,8,2,NCR,15,20.2
